CourseNumber,Section,Title,Instructor,,
740,01W,Digital Libraries Principles and Applications,Shin,490-172: Fundamentals of Programming Information Applications; #6251; Capra; Course Website; Manning 001 (3 credits) ,
749,1,Art and Visual Information Management,Tibbo,,
750,01W,Introduction to Digital Curation,Tibbo,523-003: Database Systems I; #6258; Missen; Course Website; Manning 307 ,
755,1,Archival Appraisal,Tibbo,,
756,01W,Data Curation and Management,Anthony,"690-087: Child and Young Adult Development for Librarians; #13235; Sturm; Course Website; Manning 303 (1.5 credits, Meets March 22- April 26)  ",
757,1,Principles and Practices of Archival Description,Capra,,
760,1,Web Databases,Lee,757: Principles and Practices of Archival Description; #6197; Anthony; Course Website; Manning 014 ,
765,01W,Information Technology Foundations for Managaging Digital Collections,Hassell,888-001: Seminar in Teaching and Academic Life; TBA; Owens; Course Website; Manning 304 ,11:00-1:30 (Tuesday only)
767,01W,Information Assurance,TBA,520-002: Organization of Information; #6214; Feinberg; Course Website; Manning 001 ,12:30-1:45
770,1,Health Informatics Seminar,Thomson,,
781,1,Proposal Development,Barry-Rodriguez,582-001: Systems Analysis; #6218; Mazur; Manning 208 ,
786,1,Marketing of Information Services,Flaherty,201-002: Foundations of Information Science; #6232; Shaw; Course Website; Manning 307 ,2:00-3:15
843,1,Seminar in Public Libraries,,,
857,1,Seminar in Rare Books,Ott,384-001: Information and Computer Ethics; #6228; Anthony: Course Website; Manning 014 ,
882,1,Research Issues and Questions,Gibson,,
888,1,Seminar in Teaching and Academic Life,Owens,749-001: Art and Visual Information Management; #TBA; Course Website; Manning 304,
890,259,Applied Bioinformatics for Organizations and Operations,Robasky,,
Course information and call numbers,,,,,
Course information and call numbers,,,," 890-260: Machine Learning, AI and Medicine; #12763; Krishnamurthy; Course Website; HSL 333 (1.5 credits) ",3:30-4:45 (Tuesday only) 
Course information and call numbers,,,,890-259 : Applied Bioinformatics for Organizations and Operations: #12761; Robasky; Course Website; HSL 333 (1.5 credits) ,3:30-4:45 (Thursday only) 
,,,,,2:00-4:45 (Tuesday only)
,,,,,
,,,,882: Research Issues and Questions; #6143: Gibson; Course Website; Manning 303 ,
,,,,465: Understanding Information Technology for Managing Digital Collections; #6168; Post; Course Website; Manning 117 ,2:00-4:45 (Thursday only)
,,,,,
,,,,513-001: Resource Selection and Evaluation; #6134; Flaherty; Course Website; Manning 208 ,
,,,,,
,,,,690-074: Information Science @ Work: San Francisco; #13311; Jones; Course Website; Manning 303 (3 credits) ,
,,,,500-001: Human Information Interactions; #6139; Gibson; Course Website; Manning 304,6:00-7:15
,,,,,
,,,,697-002: Information Science Capstone; #6229; Jarrahi; Course Website; Room TBA ,
,,,,490-248: Introduction to Information Security; #9895; Hodges; Course Website;  Manning 117,6:00-8:45 (Tuesday only)
,,,,,
,,,,581-002: Research Methods Overview; #6257; Rawson; Course Website; Manning 001,
,,,,,
,,,,582-002: Systems Analysis & Design; #6254; Ndoh; Course Website; Manning 307 ,
,,,,,
,,,,718: User Interface Design; #6132; Yu; Course Website; Manning 208,
,,,,,
,,,,760-001: Web Databases; #6145; Capra; Course Website; Manning 014,
,,,,382-002: Information Systems Analysis and Design; #6236; Urquhart; Course Website; Manning 307,6:00-8:45 (Thursday only)
,,,,,
,,,,418: Human Factors in System Design; #9917; Clarke; Course Website; Manning 208 ,
,,,,,
,,,,623: Database Systems II; #6169; TBA; Course Website; Manning 014,
,,,,,
,,,,733: Administration of Public Library Work with Children and Young Adults; #13234;Sturm; Course Website; Manning 303 ,
,,,,,
,,,,,Friday
,,,,Course information and call numbers,Time
,,,,581-003: Research Methods Overview' #16042; Clemens; Course Website; Manning 001 ,10:10-12:40
,,,,,
,,,,755: Archival Appraisal; #6194; Tibbo; Course Website; Manning 014,
,,,,,
,,,,786-001: Marketing of Information Services; #13238; Barry-Rodriguez; Course Website; Manning 303 ,
,,,,"572: Web Development; #6260; Boone; Course Website; Manning 001 (1.5 credits, meets January 12-March 9) ",12:20-3:05
,,,,,
,,,,"573: Mobile Web Development; #6261;  Boone; Course Website; Manning 001 (1.5 credits, meets March 23- April 27) ",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,Online Courses
,,,,Course information and call numbers,
,,,,500-02W: Human Information Interactions; #12726; E. Bailey; Course Website; WEB ,WEB
,,,,,
,,,,523-02W: Database Systems I; #6227; Haas; Course Website; WEB ,
,,,,,
,,,,767-01W: Information Assurance; #15953; Hassell; Course Website; WEB ,
,,,,,
,,,,560-03W: Programming for Information Professionals; #13119; Gotz; WEB ,
,,,,,
,,,,585-02W: Management for Information Professionals; #9111; Cox/Haight; Course Website; WEB ,
,,,,,
,,,,624-01W: Policy-Based Data Management; #6252; Rajasekar: Course Website; WEB ,
,,,,,
,,,,690-03W: Project Management: Strategy and Applications; #12753; Cox; Course Website; WEB ,
,,,,,
,,,,710-01W: Evidence-Based Medicine; #6196; TBA; Von Isenburg/Schardt; Course Website; WEB ,
,,,,,
,,,,740-01W: Digital Libraries: Principles and Applications; #6195; Shin; Course Website; WEB ,
,,,,,
,,,,750-01W: Introduction to Digital Curation; #13276; Tibbo; Course Website; WEB ,
,,,,,
,,,,756-01W: Data Curation and Management; #6213; Tibbo; Course Website; WEB ,
,,,,,
,,,,"765-01W: Information Technology Foundations for Managaging Digital Collections; #13314; Lee; Course Website; WEB ( meets January 10-February 28, 1.5 credits) ",
,,,,,
